**证据目录**  
（陈靖诉博凯升华大健康科技（郑州）有限公司民事纠纷案）

| 编号 | 证据名称 | 证据类型 | 证明目的 | 页码/来源说明 | 备注 |
|------|-----------|------------|-------------|------------------|--------|
| E1 | 《关于博凯升华大健康科技（郑州）有限公司暂停营业及股东出资争议的法律意见书》（2026年4月5日） | 律师事务所出具的法律意见书 | ① 证明博凯升华单方暂停营业行为无法律依据、违反《公司法》及公司章程；② 证明股东出资义务尚未届期，催缴失权主张不成立；③ 证明监事许阳召集临时股东会程序违法 | 证据1 | — |
| E2 | 《财产保全申请书》（2026年4月5日） | 诉讼文书 | ① 明确原告身份（陈靖系博凯升华总经理）；② 固定诉讼请求金额及构成（含欠薪80,000元、赔偿金、经济损失、垫付款返还等）；③ 印证被告住所、法定代表人信息 | 证据2 | — |
| E3 | 《代理词》（2026年4月6日） | 诉讼代理文书 | ① 概括本案四项核心违法事实（欠薪、越权停业、财务违规、大股东滥权）；② 强调资金周报显示公司具备支付能力却恶意拒付工资；③ 揭示董事会已否决停业决议而董事长仍强行执行 | 证据3 | — |
| E4 | 《民事起诉状》（2026年4月7日） | 起诉文书 | ① 确认原告任职起始时间（2025年7月23日）、职务（总经理）；② 列明五项具体诉讼请求及法律依据；③ 援引多项内部审批凭证（差旅、采购、报销单）佐证持续履职事实 | 证据4 | — |
| E5 | 《博凯升华大健康科技（郑州）有限公司股东权益与公司治理违法性法律分析报告》（2026年4月10日） | 专项法律分析报告 | ① 认定董事长雷天乾两次单方停业行为无效；② 指出46万元药业押金转货款无合法审批依据；③ 引用章程条款（第18、23、27、35条）支撑董事会职权、总经理职权及财务审批权限 | 证据5 | — |
| E6 | [待核实]《博凯升华大健康科技（郑州）有限公司章程》 | 公司内部治理文件 | ① 证明总经理职权范围（第12条、第23条）；② 明确董事会组成及表决机制（第18条）；③ 规定财务审批权限归属（第27条）；④ 明确监事召集临时股东会前提条件（第35条） | — | [待核实] |
| E7 | [待核实]《博凯升华大健康科技（郑州）有限公司营业执照》及工商登记信息 | 主体资格文件 | ① 证实公司成立时间（2025年7月23日）、注册资本（1200万元）、法定代表人（雷天乾）、住所地；② 佐证原告陈靖登记为总经理的公示效力 | — | [待核实] |
| E8 | [待核实]2025年7月23日《首次股东会决议》《首次董事会决议》 | 公司内部决议文件 | ① 证明陈靖被正式聘任为总经理；② 确认董事会成员构成及初始职权分配；③ 奠定公司治理结构合法性基础 | — | [待核实] |
| E9 | [待核实]《博凯升华2026年目标及绩效考核制度》 | 内部管理制度文件 | ① 证明原告薪酬标准具有制度依据；② 佐证其作为高级管理人员的履职内容与考核维度 | — | [待核实] |
| E10 | [待核实]《关于限期解决员工工资拖欠问题及总经理被迫辞职的紧急函件》（2026年3月20日） | 原告单方函件 | ① 书面确认自2026年1月1日起欠薪事实；② 表明原告因用人单位过错依法提出辞职；③ 构成经济补偿金与赔偿金主张的事实基础 | 证据16 | — |
| E11 | [待核实]微信工作群记录（含2026年3月18日员工集体质问工资、3月23日停业公告） | 电子数据 | ① 证明欠薪事实已被公司管理层知悉且未否认；② 证明董事长雷天乾在企微群单方宣布停业并遣散员工；③ 反映员工实际被遣散状态及维权过程 | 证据73、证据24 | — |
| E12 | [待核实]2025年11月至2026年3月《资金周报》系列（含2025.11.30、2025.12.28、2026.1.25等） | 财务报表类证据 | ① 证明公司银行账户余额长期维持在394万元以上，具备工资支付能力；② 反衬“账户冻结”拒发工资理由虚假；③ 支撑恶意拖欠主观故意认定 | 证据58、证据35、证据51 | — |
